Name,Role,Archetype,LeadCapacityBand,ProofLinks,IntroPaths,NextAction,Status
Mohamed Nanabhay,"Managing Partner, Mozilla Ventures",C — Regulatory-Thesis,Lead ($1M–$5M),LinkedIn: uk.linkedin.com/in/mohamedn,Portfolio adjacency (Credo AI/Holistic AI/etc) | Regulatory networks (OECD AI),D2: Build 2–3 warm-intro routes,PRIORITY_TIER1 / SCORED_PASS
Caleb Sima,"Founding GP, WhiteRabbit; Chair, CSAAI Security Initiative",A/B — Compliance Operator + DevTools Founder,Lead-likely ($350K+),LinkedIn: linkedin.com/in/calebsima,SVCI | Drata syndicate | CSAAI / cloud security ecosystem,D2: Build 2–3 warm-intro routes,PRIORITY_TIER1 / SCORED_PASS
Guy Podjarny,"Founder & CEO, Tessl AI; Advisor, Boldstart Ventures",B — DevTools Founder,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/guypod,Boldstart orbit | Snyk alumni / devsecops ecosystem,D2: Build 2–3 warm-intro routes,PRIORITY_TIER1 / SCORED_PASS
David B. Cross,"CISO, Atlassian; Venture Partner, Rain Capital",A — Compliance-Scarred Operator,Lead ($1M–$5M),LinkedIn: linkedin.com/in/david-b-cross-b856657,Rain Capital | SVCI | RSA circuit,D2: Build 2–3 warm-intro routes,PRIORITY_TIER1 / SCORED_PASS
Frederic Kerrest,"Co-Founder & Vice Chairman, Okta; Managing Partner, 515 Ventures",B/C — Hybrid (DevTools + Regulatory),Lead-likely ($250K–$1M+),LinkedIn: linkedin.com/in/fkerrest,Okta/identity ecosystem | Supply-chain/provenance portfolio adjacency (Socket/Chainguard),D2: Build 2–3 warm-intro routes,PRIORITY_TIER1 / SCORED_PASS
Jon Oberheide,"Board member & angel investor (ex Co-founder & CTO, Duo Security)",B — DevTools Founder,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/jonoberheide,Duo Security orbit | Cisco/Decibel adjacency,D4: Send connector intro ask,PRIORITY_TIER2 / SCORED_PASS
Niloofar Razi Howe,"President, The Stratham Group; Operating Partner, Capitol Meridian Partners",C — Regulatory-Thesis (plus operator),Co-lead or Lead-likely (verify),LinkedIn: linkedin.com/in/niloofarhowe,RSA Innovation Sandbox circuit | Gov-tech / CISA networks,D4: Send connector intro ask,PRIORITY_TIER2 / SCORED_PASS
Jesse Robbins,"General Partner, Heavybit",B — DevTools Founder,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/jesserobbins,Heavybit network | DevOps/Velocity conference circuit,D4: Send connector intro ask,PRIORITY_TIER2 / SCORED_PASS
Phil Venables,"VP/CISO, Google Cloud",A — Compliance-Scarred Operator,Strategic/Lead-likely (verify),LinkedIn: linkedin.com/in/philvenables,Google Cloud / CISO community | Socket.dev portfolio adjacency,D4: Send connector intro ask,PRIORITY_TIER2 / SCORED_PASS
Solomon Hykes,"Co-Founder & CEO, Dagger (ex Docker co-founder)",B — DevTools Founder,Lead-likely ($250K–$1M),LinkedIn: linkedin.com/in/solomonhykes,Docker alumni / OSS infra networks | GitGuardian portfolio adjacency,D4: Send connector intro ask,PRIORITY_TIER2 / SCORED_PASS
